id,kind,title,original_language,overview,popularity,vote_average,vote_count,release_date,genre_ids
1311031,movie,Demon Slayer: Kimetsu no Yaiba Infinity Castle,ja,"The Demon Slayer Corps are drawn into the Infinity Castle, where Tanjiro, Nezuko, and the Hashira face terrifying Upper Rank demons in a desperate fight as the final battle against Muzan Kibutsuji begins.",812.633,7.646,268,2025-07-18,"[16, 28, 14, 53]"
755898,movie,War of the Worlds,en,"Will Radford is a top analyst for Homeland Security who tracks potential threats through a mass surveillance program, until one day an attack by an unknown entity leads him to question whether the government is hiding something from him... and from the rest of the world.",517.6218,4.332,541,2025-07-29,"[878, 53]"
1078605,movie,Weapons,en,"When all but one child from the same class mysteriously vanish on the same night at exactly the same time, a community is left questioning who or what is behind their disappearance.",355.6318,7.394,1401,2025-08-04,"[27, 9648]"
1038392,movie,The Conjuring: Last Rites,en,Paranormal investigators Ed and Lorraine Warren take on one last terrifying case involving mysterious entities they must confront.,348.5207,6.609,354,2025-09-03,[27]
1007734,movie,Nobody 2,en,"Former assassin Hutch Mansell takes his family on a nostalgic vacation to a small-town theme park, only to be pulled back into violence when they clash with a corrupt operator, a crooked sheriff, and a ruthless crime boss.",298.6964,7.29,553,2025-08-13,"[28, 53]"
506763,movie,Detective Dee: The Four Heavenly Kings,zh,"Dee, the detective serving Chinese empress Wu Zetian, is called upon to investigate a series of strange events in Loyang, including the appearance of mysterious warriors wearing Chiyou ghost masks, foxes that speak human language and the pillar sculptures in the palace coming alive.",216.4421,6.226,199,2018-07-27,"[28, 14, 12, 9648]"
1061474,movie,Superman,en,"Superman, a journalist in Metropolis, embarks on a journey to reconcile his Kryptonian heritage with his human upbringing as Clark Kent.",227.5105,7.507,3153,2025-07-09,"[878, 12, 28]"
1035259,movie,The Naked Gun,en,Only one man has the particular set of skills... to lead Police Squad and save the world: Lt. Frank Drebin Jr.,196.8203,6.69,679,2025-07-30,"[35, 28, 80]"
1369679,movie,Get Fast,en,"When The Thief’s partner is kidnapped after stealing millions in cash from a merciless drug lord named Nushi, he reluctantly teams up with an angst-ridden orphan to rescue him. Nushi enlists her most trusted hitman, The Cowboy, a lovable charmer who’s quick with his guns, to track down the Thief. Guns, cars, and explosions will give the newfound partners a head start, but how long will they be able to keep it up?",194.2456,6.1,21,2024-12-12,"[28, 80, 53]"
1028248,movie,As Good as Dead,en,An ex-cop in self-imposed witness protection in Mexico becomes a target when a fight video of his apprentice goes viral.,195.7344,6.362,65,2022-12-16,"[28, 80]"
691363,movie,The Thing Behind The Door,fr,"The story of Adèle, a youg woman who’s literally haunted by the death of her husband, killed in a trench during World War One. Desperate and unable to face this tragic loss, Adèle turns to black magic in the hope to bring her lover back. The miracle will happen, but Adèle will have to pay the price for opening this Pandora Box.",155.7818,5.7,20,2023-01-16,[27]
1234821,movie,Jurassic World Rebirth,en,"Five years after the events of Jurassic World Dominion, covert operations expert Zora Bennett is contracted to lead a skilled team on a top-secret mission to secure genetic material from the world's three most massive dinosaurs. When Zora's operation intersects with a civilian family whose boating expedition was capsized, they all find themselves stranded on an island where they come face-to-face with a sinister, shocking discovery that's been hidden from the world for decades.",166.8904,6.398,2108,2025-07-01,"[878, 12, 28]"
911430,movie,F1,en,Racing legend Sonny Hayes is coaxed out of retirement to lead a struggling Formula 1 team—and mentor a young hotshot driver—while chasing one more chance at glory.,176.1618,7.8,2095,2025-06-25,"[28, 18]"
1051486,movie,Stockholm Bloodbath,en,"In 1520, the notorious and power-hungry Danish King Christian II is determined to seize the Swedish crown from Sten Sture, no matter what it takes. Meanwhile, sisters Freja and Anne make a solemn promise to seek revenge on the men who brutally murdered their family. Everything comes to a head in the heart of Stockholm, where the sisters are drawn into a ruthless political struggle between Sweden and Denmark that culminates in a mass execution, presided over by the mad King ""Christian the Tyrant,"" known as the Stockholm Bloodbath.",161.4378,6.2,32,2024-01-19,"[28, 36, 18, 12, 10752]"
575265,movie,Mission: Impossible - The Final Reckoning,en,"Ethan Hunt and team continue their search for the terrifying AI known as the Entity — which has infiltrated intelligence networks all over the globe — with the world's governments and a mysterious ghost from Hunt's past on their trail. Joined by new allies and armed with the means to shut the Entity down for good, Hunt is in a race against time to prevent the world as we know it from changing forever.",161.3495,7.285,1727,2025-05-17,"[28, 12, 53]"
803796,movie,KPop Demon Hunters,en,"When K-pop superstars Rumi, Mira and Zoey aren't selling out stadiums, they're using their secret powers to protect their fans from supernatural threats.",153.5843,8.318,1420,2025-06-20,"[16, 35, 14, 10402]"
914215,movie,Humane,en,"In the wake of an environmental collapse that has forced humanity to shed 20% of its population, a family dinner erupts into chaos when a father's plan to enlist in the government's new euthanasia program goes horribly awry.",167.2512,5.4,160,2024-04-26,"[27, 878, 53]"
1087192,movie,How to Train Your Dragon,en,"On the rugged isle of Berk, where Vikings and dragons have been bitter enemies for generations, Hiccup stands apart, defying centuries of tradition when he befriends Toothless, a feared Night Fury dragon. Their unlikely bond reveals the true nature of dragons, challenging the very foundations of Viking society.",151.5983,8.0,1912,2025-06-06,"[14, 10751, 28, 12]"
1242011,movie,Together,en,"With a move to the countryside already testing the limits of a couple's relationship, a supernatural encounter begins an extreme transformation of their love, their lives, and their flesh.",141.1349,7.1,427,2025-07-28,[27]
1119878,movie,Ice Road: Vengeance,en,"Big rig ice road driver Mike McCann travels to Nepal to scatter his late brother’s ashes on Mt. Everest. While on a packed tour bus traversing the deadly 12,000 ft. terrain of the infamous Road to the Sky, McCann and his mountain guide encounter a group of mercenaries and must fight to save themselves, the busload of innocent travelers, and the local villagers’ homeland.",126.0602,6.479,375,2025-06-27,"[28, 53, 18]"
