genre,titles,average_popularity,average_rating,average_sentiment
Drama,290,47.91305034482759,7.533648275862069,0.041506757201246115
Comedy,156,44.18720961538462,7.263185897435897,0.07866047967826051
Crime,112,56.690813392857144,7.635330357142857,0.002316687012557546
Action,111,57.069570270270276,7.096783783783784,-0.019493208957494675
Animation,91,47.044659340659344,7.886527472527472,0.09685295958281305
Action & Adventure,87,47.385719540229886,8.026597701149425,0.05943918108285924
Sci-Fi & Fantasy,85,52.78147647058824,8.118188235294118,0.04379909915792268
Mystery,83,56.30351084337349,7.703361445783133,0.016262568310761075
Adventure,80,43.8913375,7.3298625,0.04843099165494998
Thriller,78,64.61223461538462,6.760307692307692,-0.04893254872078132
Fantasy,57,50.66841403508772,7.3179649122807024,0.07021210089610257
Family,56,37.056305357142854,7.424285714285714,0.14350603954026572
Romance,56,33.93099285714286,6.674017857142857,0.1390344329470605
Science Fiction,48,55.512933333333336,7.225958333333334,-0.024330287354840923
Horror,43,62.98423488372093,6.372139534883721,-0.1083465388739475
